Time	Artist	Title	Album	Track MBID	Artist MBID	Album MBID
1342932953000	The Raveonettes	D.R.U.G.S.	In and Out of Control	18598f4c-a22c-4d6e-af94-55cdc02d2e04	79255a50-40df-447f-9612-2cf669080196	fe4c0d1b-06b3-349a-b228-cf5f18847073
1342933088000	Two Door Cinema Club	Something Good Can Work	Tourist History [Promo]	7d8390e4-694c-4fb3-ad9e-5a38e5654443	6f1de078-6684-4792-820d-2ffad64c15ed	
1343059374000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1343059563000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1343059703000	TouchArcade	The TouchArcade Show - 61 - I'd Rather Be Elite	The TouchArcade Show			
1343134794000	Vicky Donor (DjPunjab.CoM)	Pani Da Rang (Male) (DjPunjab.CoM)	Vicky Donor (DjPunjab.CoM)			
1343135295000	Two Door Cinema Club	Standing on Ghosts	Four Words to Stand On	fa59e4bb-1c1d-4a05-8f89-3f1ca7175adc	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1343187791000	Two Door Cinema Club	Standing on Ghosts	Four Words to Stand On	fa59e4bb-1c1d-4a05-8f89-3f1ca7175adc	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1343188003000	Two Door Cinema Club	Standing on Ghosts	Four Words to Stand On	fa59e4bb-1c1d-4a05-8f89-3f1ca7175adc	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1343188214000	Two Door Cinema Club	Standing on Ghosts	Four Words to Stand On	fa59e4bb-1c1d-4a05-8f89-3f1ca7175adc	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1343225267000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1343225483000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1343225727000	Vicky Donor (DjPunjab.CoM)	Pani Da Rang (Male) (DjPunjab.CoM)	Vicky Donor (DjPunjab.CoM)			
1343226475000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1343226671000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1343226862000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1343227053000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1343283017000	Fuzön	Neend Na Aaye [Journey]	Journey		ec465455-34cb-4953-a46c-85fe4949aa96	be2bd972-dfc9-484d-8b01-dcfbfa4a26ff
1343283359000	Fuzön	Neend Na Aaye [Journey]	Journey		ec465455-34cb-4953-a46c-85fe4949aa96	be2bd972-dfc9-484d-8b01-dcfbfa4a26ff
1343283852000	Radiohead	I Might Be Wrong	The Best Of	5fdd8cf0-ebd0-4259-a5f1-84130d5bd4ca	a74b1b7f-71a5-4011-9441-d0b5e4122711	af8722d8-6248-4b9c-9d30-2183eafa2ed9
1343284145000	Radiohead	Go to Sleep	The Best Of	3485391f-eeee-478e-b35d-50f70cb89bc3	a74b1b7f-71a5-4011-9441-d0b5e4122711	af8722d8-6248-4b9c-9d30-2183eafa2ed9
